lbaas-healthmonitor-create,,LBaaS v2 Create a healthmonitor.
lbaas-healthmonitor-delete,,LBaaS v2 Delete a given healthmonitor.
lbaas-healthmonitor-list,,LBaaS v2 List healthmonitors that belong to a given tenant.
lbaas-healthmonitor-show,,LBaaS v2 Show information of a given healthmonitor.
lbaas-healthmonitor-update,,LBaaS v2 Update a given healthmonitor.
lbaas-l7policy-create,,LBaaS v2 Create L7 policy.
lbaas-l7policy-delete,,LBaaS v2 Delete a given L7 policy.
lbaas-l7policy-list,,LBaaS v2 List L7 policies that belong to a given listener.
lbaas-l7policy-show,,LBaaS v2 Show information of a given L7 policy.
lbaas-l7policy-update,,LBaaS v2 Update a given L7 policy.
lbaas-l7rule-create,,LBaaS v2 Create L7 rule.
lbaas-l7rule-delete,,LBaaS v2 Delete a given L7 rule.
lbaas-l7rule-list,,LBaaS v2 List L7 rules that belong to a given L7 policy.
lbaas-l7rule-show,,LBaaS v2 Show information of a given rule.
lbaas-l7rule-update,,LBaaS v2 Update a given L7 rule.
lbaas-listener-create,,LBaaS v2 Create a listener.
lbaas-listener-delete,,LBaaS v2 Delete a given listener.
lbaas-listener-list,,LBaaS v2 List listeners that belong to a given tenant.
lbaas-listener-show,,LBaaS v2 Show information of a given listener.
lbaas-listener-update,,LBaaS v2 Update a given listener.
lbaas-loadbalancer-create,,LBaaS v2 Create a loadbalancer.
lbaas-loadbalancer-delete,,LBaaS v2 Delete a given loadbalancer.
lbaas-loadbalancer-list,,LBaaS v2 List loadbalancers that belong to a given tenant.
lbaas-loadbalancer-list-on-agent,,List the loadbalancers on a loadbalancer v2 agent.
lbaas-loadbalancer-show,,LBaaS v2 Show information of a given loadbalancer.
lbaas-loadbalancer-stats,,Retrieve stats for a given loadbalancer.
lbaas-loadbalancer-status,,Retrieve status for a given loadbalancer.
lbaas-loadbalancer-update,,LBaaS v2 Update a given loadbalancer.
lbaas-member-create,,LBaaS v2 Create a member.
lbaas-member-delete,,LBaaS v2 Delete a given member.
lbaas-member-list,,LBaaS v2 List members that belong to a given pool.
lbaas-member-show,,LBaaS v2 Show information of a given member.
lbaas-member-update,,LBaaS v2 Update a given member.
lbaas-pool-create,,LBaaS v2 Create a pool.
lbaas-pool-delete,,LBaaS v2 Delete a given pool.
lbaas-pool-list,,LBaaS v2 List pools that belong to a given tenant.
lbaas-pool-show,,LBaaS v2 Show information of a given pool.
