lbaas-healthmonitor-create,loadbalancer healthmonitor create,LBaaS v2 Create a healthmonitor.
lbaas-healthmonitor-delete,loadbalancer healthmonitor delete,LBaaS v2 Delete a given healthmonitor.
lbaas-healthmonitor-list,loadbalancer healthmonitor list,LBaaS v2 List healthmonitors that belong to a given tenant.
lbaas-healthmonitor-show,loadbalancer healthmonitor show,LBaaS v2 Show information of a given healthmonitor.
lbaas-healthmonitor-update,loadbalancer healthmonitor set,LBaaS v2 Update a given healthmonitor.
lbaas-l7policy-create,loadbalancer l7policy create,LBaaS v2 Create L7 policy.
lbaas-l7policy-delete,loadbalancer l7policy delete,LBaaS v2 Delete a given L7 policy.
lbaas-l7policy-list,loadbalancer l7policy list,LBaaS v2 List L7 policies that belong to a given listener.
lbaas-l7policy-show,loadbalancer l7policy show,LBaaS v2 Show information of a given L7 policy.
lbaas-l7policy-update,loadbalancer l7policy set,LBaaS v2 Update a given L7 policy.
lbaas-l7rule-create,loadbalancer l7rule create,LBaaS v2 Create L7 rule.
lbaas-l7rule-delete,loadbalancer l7rule delete,LBaaS v2 Delete a given L7 rule.
lbaas-l7rule-list,loadbalancer l7rule list,LBaaS v2 List L7 rules that belong to a given L7 policy.
lbaas-l7rule-show,loadbalancer l7rule show,LBaaS v2 Show information of a given rule.
lbaas-l7rule-update,loadbalancer l7rule set,LBaaS v2 Update a given L7 rule.
lbaas-listener-create,loadbalancer listener create,LBaaS v2 Create a listener.
lbaas-listener-delete,loadbalancer listener delete,LBaaS v2 Delete a given listener.
lbaas-listener-list,loadbalancer listener list,LBaaS v2 List listeners that belong to a given tenant.
lbaas-listener-show,loadbalancer listener show,LBaaS v2 Show information of a given listener.
lbaas-listener-update,loadbalancer listener set,LBaaS v2 Update a given listener.
lbaas-loadbalancer-create,loadbalancer create,LBaaS v2 Create a loadbalancer.
lbaas-loadbalancer-delete,loadbalancer delete,LBaaS v2 Delete a given loadbalancer.
lbaas-loadbalancer-list,loadbalancer list,LBaaS v2 List loadbalancers that belong to a given tenant.
lbaas-loadbalancer-list-on-agent,,List the loadbalancers on a loadbalancer v2 agent.
lbaas-loadbalancer-show,loadbalancer show,LBaaS v2 Show information of a given loadbalancer.
lbaas-loadbalancer-stats,loadbalancer stats show,Retrieve stats for a given loadbalancer.
lbaas-loadbalancer-status,loadbalancer status show,Retrieve status for a given loadbalancer.
lbaas-loadbalancer-update,loadbalancer set,LBaaS v2 Update a given loadbalancer.
lbaas-member-create,loadbalancer member create,LBaaS v2 Create a member.
lbaas-member-delete,loadbalancer member delete,LBaaS v2 Delete a given member.
lbaas-member-list,loadbalancer member list,LBaaS v2 List members that belong to a given pool.
lbaas-member-show,loadbalancer member show,LBaaS v2 Show information of a given member.
lbaas-member-update,loadbalancer member set,LBaaS v2 Update a given member.
lbaas-pool-create,loadbalancer pool create,LBaaS v2 Create a pool.
lbaas-pool-delete,loadbalancer pool delete,LBaaS v2 Delete a given pool.
lbaas-pool-list,loadbalancer pool list,LBaaS v2 List pools that belong to a given tenant.
lbaas-pool-show,loadbalancer pool show,LBaaS v2 Show information of a given pool.
